stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
clinical lymph node sentinel significance	Clinical significance of sentinel lymph node	Clinical significance of sentinel lymph node	6	3,9714236158	24,709315429	536,442670267	2,0	35,0	 
lymphoscintigraphy node preoperative sentinel	sentinel node on preoperative lymphoscintigraphy	sentinel node on preoperative lymphoscintigraphy	5	3,9714236158	24,709315429	473,480764448	2,0	24,0	 
epidermal factor growth receptor	epidermal growth factor receptor	epidermal growth factor receptor|&|epidermal growth factor receptors	4	11,9142708474	61,0387819236	1187,57919259	8,0	133,0	 
cell population	cell populations	cell populations|&|cell population|&|population of cells	2	39,3409844095	163,335079799	239,46052457	29,0	534,0	 
lymph metastatic node	metastatic lymph nodes	metastatic lymph nodes|&|lymph node metastatic|&|lymph nodes metastatic|&|Metastatic lymph nodes	3	17,8714062711	84,3119412097	153,492027943	13,0	207,0	 
aberrant cancer methylome transcriptome	aberrant cancer methylome and transcriptome	aberrant cancer methylome and transcriptome	5	3,9714236158	24,709315429	435,743323082	2,0	33,0	 
developmental regulator	developmental regulator	developmental regulator|&|developmental regulators	2	4,72091812914	28,5563577056	225,751216196	3,0	27,0	 
melanoma outcome patient	outcome for melanoma patients	outcome for melanoma patients|&|outcome in melanoma patients	4	3,9714236158	24,709315429	490,766342601	4,0	38,0	 
breast primary tumor	primary breast tumors	primary breast tumors	3	9,92855903949	54,8913358673	365,127204852	4,0	70,0	 
carcinoma papillary thyroid	papillary thyroid carcinoma	papillary thyroid carcinoma|&|papillary thyroid carcinomas|&|Papillary thyroid carcinoma	3	37,7285243501	177,991875887	290,568993625	14,0	244,0	 
glucocorticoid-induced orphan receptor	orphan glucocorticoid-induced receptor	orphan glucocorticoid-induced receptor	3	3,9714236158	24,709315429	102,289649085	2,0	14,0	 
CLCNKB mutation	CLCNKB mutations	CLCNKB mutations	2	4,72091812914	28,5563577056	245,792646075	3,0	35,0	 
culture supernatants	culture supernatants	culture supernatants	2	4,72091812914	28,5563577056	193,058709705	3,0	43,0	 
absence complete	complete absence	complete absence	2	4,72091812914	28,5563577056	220,383648659	3,0	31,0	 
normal patient schizophrenic	schizophrenic patients and normal	schizophrenic patients and normal|&|schizophrenic patients or normal	4	3,9714236158	27,4620965111	114,847367358	1,0	37,0	 
factor independent poor prognostic	independent poor prognostic factors	independent poor prognostic factors	4	3,9714236158	24,709315429	121,19696703	2,0	26,0	 
breast cancer nomogram validation	Validation of a breast cancer nomogram	Validation of a breast cancer nomogram	6	7,94284723159	43,9130686939	310,86760987	4,0	75,0	 
cell degeneration murine progenitor proliferation retinal	proliferation of retinal progenitor cells in murine retinal degeneration	proliferation of retinal progenitor cells in murine retinal degeneration	9	3,9714236158	24,709315429	404,548155684	2,0	12,0	 
high payload	higher payload	higher payload|&|high payloads	2	4,72091812914	33,7428163761	158,509462699	2,0	34,0	 
cancer colon	colon cancer	colon cancer|&|colon cancers	2	34,6200662803	151,460114759	273,90669297	36,0	521,0	 
earlier study	earlier studies	earlier studies	2	4,72091812914	28,5563577056	77,8148782756	3,0	42,0	 
alone group	alone group	alone group	2	4,72091812914	30,4705252852	220,49797733	2,0	22,0	 
mouse oocyte	mouse oocytes	mouse oocytes|&|mouse oocyte	2	11,0154756347	57,2981123768	143,521873724	9,0	139,0	 
injection subareolar	subareolar injection	subareolar injection|&|injection and subareolar	2	7,86819688189	43,5746529293	625,500058578	5,0	53,0	 
nerve terminal	nerve terminals	nerve terminals	2	6,29455750551	38,0751436075	254,769885633	3,0	41,0	 
cell growth islet	islet cell growth	islet cell growth	3	3,9714236158	27,4620965111	260,789359042	1,0	20,0	 
aneurysmal arachnoid haemorrhage service sub	service for aneurysmal sub arachnoid haemorrhage	service for aneurysmal sub arachnoid haemorrhage	6	3,9714236158	24,709315429	215,193086721	2,0	23,0	 
gamma probe	gamma probe	gamma probe|&|gamma probes	2	40,9146237858	162,408865086	510,800991081	55,0	797,0	 
embryonic fibroblast mouse	mouse embryonic fibroblasts	mouse embryonic fibroblasts	3	3,9714236158	24,709315429	307,329771324	2,0	30,0	 
human retina	human retina	human retina	2	4,72091812914	28,5563577056	207,944879287	3,0	17,0	 
bismuth cell death nephrotoxicity pathway proximal tubular	Pathways of proximal tubular cell death in bismuth nephrotoxicity	Pathways of proximal tubular cell death in bismuth nephrotoxicity	9	3,9714236158	24,709315429	1719,89407925	2,0	3,0	 
fibrosis interstitial renal	renal interstitial fibrosis	renal interstitial fibrosis|&|Renal interstitial fibrosis	3	19,857118079	96,0187663241	184,702260557	15,0	180,0	 
expansion glia intermediate radial role tangential	role for intermediate radial glia in the tangential expansion	role for intermediate radial glia in the tangential expansion	9	3,9714236158	24,709315429	151,888363071	2,0	11,0	 
detection method	detection method	detection method|&|detection methods|&|method of detection|&|methods of detection	2	11,0154756347	57,2981123768	160,868399474	7,0	108,0	 
perspective surgical	surgical perspective	surgical perspective	2	4,72091812914	28,5563577056	258,005205154	3,0	50,0	 
analysis frozen section	frozen section analysis	frozen section analysis	3	11,9142708474	63,2110103326	452,542187636	5,0	96,0	 
datum present	present data	present data	2	6,29455750551	36,2643122592	179,99710034	4,0	89,0	 
Chinese aniridia congenital family northeastern	northeastern Chinese family with congenital aniridia	northeastern Chinese family with congenital aniridia	6	3,9714236158	24,709315429	934,081625855	2,0	18,0	 
large size tumor	large tumor size	large tumor size|&|larger tumor size	3	5,95713542369	34,648562585	370,949767576	3,0	47,0	 
biopsy examination lymph malignant melanoma node sentinel	biopsy examination of sentinel lymph nodes in malignant melanomas	biopsy examination of sentinel lymph nodes in malignant melanomas	9	3,9714236158	24,709315429	504,381294045	2,0	28,0	 
other tissue	other tissues	other tissues	2	4,72091812914	28,5563577056	90,878118564	3,0	39,0	 
breast cancer detection metastasis	detection of breast cancer metastases	detection of breast cancer metastases	5	3,9714236158	24,709315429	139,906338388	2,0	30,0	 
mutation nonsense	nonsense mutation	nonsense mutation|&|nonsense mutations	2	14,1627543874	71,7778293106	245,748734936	8,0	84,0	 
fibroblast line	fibroblast lines	fibroblast lines	2	4,72091812914	28,5563577056	125,127372832	3,0	44,0	 
food intake	food intake	food intake	2	6,29455750551	38,0751436075	142,753506362	3,0	45,0	 
outer rod segment	rod outer segments	rod outer segments|&|rod outer segment	3	3,9714236158	24,709315429	174,200388051	2,0	16,0	 
biopsy cancer endometrial lymph node sentinel	Sentinel lymph node biopsy in endometrial cancer	Sentinel lymph node biopsy in endometrial cancer	7	3,9714236158	24,709315429	433,216551706	2,0	23,0	 
aniridia case familial gene	gene in a case of familial aniridia	gene in a case of familial aniridia	7	3,9714236158	24,709315429	114,41632486	2,0	45,0	 
available datum	available data	available data|&|data available	2	6,29455750551	36,2643122592	159,509303301	4,0	91,0	 
insulin sensitivity	insulin sensitivity	insulin sensitivity	2	4,72091812914	28,5563577056	87,7715505465	5,0	103,0	 
expression filament intermediate keratin pattern	Expression patterns of keratin intermediate filament	Expression patterns of keratin intermediate filament	6	3,9714236158	24,709315429	140,455148163	2,0	16,0	 
assay luciferase reporter	luciferase reporter assay	luciferase reporter assay|&|luciferase reporter assays	3	11,9142708474	61,0387819236	224,035376373	6,0	103,0	 
candidate gene	candidate genes	candidate genes|&|candidate gene|&|Candidate genes|&|Candidate gene	2	84,9765263245	280,19852574	511,000150844	65,0	895,0	 
metastasis micro	micro metastases	micro metastases	2	4,72091812914	30,4705252852	181,65379855	2,0	56,0	 
cell hepatoma	hepatoma cells	hepatoma cells|&|hepatoma cell	2	11,0154756347	57,2981123768	164,337137847	9,0	142,0	 
lymph negative node sentinel	negative sentinel lymph nodes	negative sentinel lymph nodes|&|negative sentinel lymph node|&|sentinel lymph node negative	4	17,8714062711	84,3119412097	337,47628614	15,0	266,0	 
application fetal human neural persistent progenitor vasculature	Application of human persistent fetal vasculature neural progenitors	Application of human persistent fetal vasculature neural progenitors	8	3,9714236158	24,709315429	123,276286855	2,0	41,0	 
mitotic rate	mitotic rate	mitotic rate|&|Mitotic rates|&|Mitotic rate	2	15,7363937638	77,8996634506	268,402347965	9,0	68,0	 
correlation photon spectroscopy	photon correlation spectroscopy	photon correlation spectroscopy	3	15,8856944632	76,8150130593	300,247816247	8,0	156,0	 
disorder spectrum	spectrum disorder	spectrum disorder|&|spectrum disorders	2	6,29455750551	36,2643122592	310,024281709	19,0	283,0	 
cell granulosa growth	growth of granulosa cells	growth of granulosa cells	4	3,9714236158	24,709315429	215,369772558	2,0	33,0	 
injection technique	injection technique	injection technique|&|injection techniques	2	23,6045906457	106,420213925	324,025699235	24,0	310,0	 
sample size small	small sample size	small sample size	3	5,95713542369	34,648562585	127,361437248	3,0	78,0	 
carcinogenesis metastasis	carcinogenesis and metastasis	carcinogenesis and metastasis	3	4,72091812914	28,5563577056	691,755133495	3,0	42,0	 
Clinicopathologic datum	Clinicopathologic data	Clinicopathologic data	2	4,72091812914	28,5563577056	232,305745835	3,0	38,0	 
rat tissue	rat tissues	rat tissues|&|rat tissue	2	6,29455750551	38,0751436075	97,6641902547	3,0	58,0	 
application biopharmaceutical study	application in biopharmaceutical studies	application in biopharmaceutical studies	4	3,9714236158	24,709315429	365,012844811	2,0	21,0	 
proximal rat renal tubular	rat renal proximal tubular	rat renal proximal tubular	4	5,95713542369	34,648562585	389,546242335	3,0	63,0	 
breast cancer lymph node primary sentinel	sentinel lymph nodes in primary breast cancer	sentinel lymph nodes in primary breast cancer	7	3,9714236158	24,709315429	186,576518797	2,0	51,0	 
cell cultured epithelial tubular	cultured tubular epithelial cells	cultured tubular epithelial cells	4	3,9714236158	24,709315429	110,965277572	2,0	30,0	 
cough fictive morphological nucleus organization reflex solitarius tractus	morphological organization of the nucleus tractus solitarius in the fictive cough reflex	morphological organization of the nucleus tractus solitarius in the fictive cough reflex	12	3,9714236158	24,709315429	179,080974756	2,0	15,0	 
cell mesenchymal	mesenchymal cells	mesenchymal cells	2	4,72091812914	28,5563577056	168,163248494	3,0	57,0	 
aim review	aim of this review	aim of this review	4	4,72091812914	28,5563577056	118,97396811	3,0	29,0	 
cell dendritic exclusive mature migration	exclusive migration of mature dendritic cells	exclusive migration of mature dendritic cells	6	3,9714236158	24,709315429	291,30081797	2,0	20,0	 
patient select	selected patients	selected patients|&|Selected patients	2	9,44183625827	50,5681332296	258,579567781	6,0	89,0	 
node nonsentinel	nonsentinel node	nonsentinel node|&|nonsentinel nodes	2	7,86819688189	43,5746529293	197,614202815	7,0	94,0	 
lipid nanoparticles noscapine solid	solid lipid nanoparticles of noscapine	solid lipid nanoparticles of noscapine	5	5,95713542369	34,648562585	150,233218936	3,0	38,0	 
management medicine nuclear order	Order of management for nuclear medicine	Order of management for nuclear medicine	6	3,9714236158	24,709315429	193,322895701	2,0	46,0	 
breast cancer laterocranial lymph mapping node sentinel	laterocranial mapping of sentinel lymph nodes in breast cancer	laterocranial mapping of sentinel lymph nodes in breast cancer	9	3,9714236158	24,709315429	555,336224044	2,0	33,0	 
patient positivity	positivity in patients	positivity in patients|&|positivity for patients|&|positivity in these patients	3	7,86819688189	43,5746529293	157,561732292	5,0	57,0	 
NRK-49F cell	NRK-49F cells	NRK-49F cells	2	4,72091812914	28,5563577056	197,322088021	3,0	51,0	 
approach novel therapeutic	novel therapeutic approaches	novel therapeutic approaches	3	3,9714236158	24,709315429	124,437357152	2,0	29,0	 
evaluation immunostaining intraoperative optimization protocol rapid	Optimization of an immunostaining protocol for the rapid intraoperative evaluation	Optimization of an immunostaining protocol for the rapid intraoperative evaluation	10	3,9714236158	24,709315429	110,297315173	2,0	36,0	 
gene such	genes such	genes such|&|such genes	2	20,4573118929	97,164379481	226,97799284	11,0	194,0	 
dominant-negative form	dominant-negative form	dominant-negative form	2	4,72091812914	28,5563577056	316,598241846	3,0	59,0	 
dye isotope	dye and isotope	dye and isotope|&|isotope and dye	3	6,29455750551	36,2643122592	278,775949463	4,0	46,0	 
carcinogenesis potential role	potential role in carcinogenesis	potential role in carcinogenesis	4	3,9714236158	24,709315429	408,685547144	2,0	24,0	 
atrial natriuretic peptide	atrial natriuretic peptide	atrial natriuretic peptide	3	3,9714236158	24,709315429	85,4969502366	2,0	40,0	 
disease metastatic regional	regional metastatic disease	regional metastatic disease	3	3,9714236158	24,709315429	271,20722862	2,0	41,0	 
alpha estrogen receptor	estrogen receptor alpha	estrogen receptor alpha	3	5,95713542369	37,0639731435	273,620880076	2,0	40,0	 
approach dopaminergic generation neurone novel	novel approach for generation of dopaminergic neurones	novel approach for generation of dopaminergic neurones	7	3,9714236158	24,709315429	262,574464076	2,0	33,0	 
acid induction promoter reelin retinoic	Induction of the reelin promoter by retinoic acid	Induction of the reelin promoter by retinoic acid	8	3,9714236158	24,709315429	628,676818079	2,0	18,0	 
range size	size range	size range	2	6,29455750551	36,2643122592	256,380837434	6,0	92,0	 
receptor subunits	receptor subunits	receptor subunits	2	6,29455750551	36,2643122592	87,0731004264	4,0	39,0	 
cell immature	immature cells	immature cells|&|Immature cell	2	7,86819688189	50,7842088087	78,2610082969	2,0	20,0	 
distribution lymph node sentinel	distribution of sentinel lymph nodes	distribution of sentinel lymph nodes	5	3,9714236158	24,709315429	667,404948312	2,0	23,0	 
Chinese breast cancer patient	Chinese patients with breast cancer	Chinese patients with breast cancer|&|Chinese breast cancer patients	5	7,94284723159	43,9130686939	261,680824245	4,0	78,0	 
diabetic nephropathy	diabetic nephropathy	diabetic nephropathy|&|Diabetic nephropathy	2	17,3100331402	85,6896297957	203,531424377	9,0	159,0	 
GFP-tagged integral membrane protein	GFP-tagged integral membrane proteins	GFP-tagged integral membrane proteins	4	3,9714236158	27,4620965111	198,041861656	1,0	35,0	 
jaw-opening laryngeal nerve reflex superior	superior laryngeal nerve on the jaw-opening reflex	superior laryngeal nerve on the jaw-opening reflex	7	3,9714236158	24,709315429	332,512247204	2,0	10,0	 
marker neuronal	neuronal markers	neuronal markers	2	7,86819688189	43,5746529293	128,230504734	5,0	104,0	 
insulin promoter	insulin promoter	insulin promoter|&|Insulin promoter	2	4,72091812914	28,5563577056	177,110718681	7,0	114,0	 
absence axillary recurrence	absence of axillary recurrences	absence of axillary recurrences	4	3,9714236158	24,709315429	404,843167515	2,0	41,0	 
case patient	case of a patient	case of a patient|&|case for patients	4	4,72091812914	28,5563577056	167,033448635	3,0	45,0	 
SLNs multiple patient	patients with multiple SLNs	patients with multiple SLNs	4	5,95713542369	34,648562585	831,765333878	3,0	25,0	 
dorsal inspiratory medullary neuron	Dorsal medullary inspiratory neurons	Dorsal medullary inspiratory neurons	4	3,9714236158	24,709315429	278,650202745	2,0	22,0	 
cornea lens	lens and cornea	lens and cornea|&|cornea and lens	3	4,72091812914	28,5563577056	94,1753501546	3,0	51,0	 
chromosomal region	chromosomal region	chromosomal region	2	6,29455750551	36,2643122592	129,730942688	4,0	57,0	 
animal model	animal models	animal models|&|animal model|&|Animal models|&|model animals|&|model animal	2	47,2091812914	176,860419963	125,52484205	32,0	480,0	 
release sustained	sustained release	sustained release	2	6,29455750551	36,2643122592	246,828797097	4,0	89,0	 
curve survival	survival curve	survival curve|&|survival curves	2	6,29455750551	38,0751436075	245,459059079	3,0	45,0	 
gynecologic malignancy	gynecologic malignancies	gynecologic malignancies	2	6,29455750551	36,2643122592	495,080625723	6,0	59,0	 
endothelial factor growth vascular	vascular endothelial growth factor	vascular endothelial growth factor|&|vascular endothelial growth factors|&|Vascular endothelial growth factor	4	23,8285416948	105,560877355	283,66594154	12,0	205,0	 
cell kidney protein	proteins between kidney cells	proteins between kidney cells	4	5,95713542369	34,648562585	719,932994483	3,0	30,0	 
inductive interaction reciprocal	reciprocal inductive interactions	reciprocal inductive interactions|&|Reciprocal inductive interactions	3	3,9714236158	24,709315429	104,496035611	2,0	29,0	 
primary resection tumor	primary tumor resection	primary tumor resection	3	3,9714236158	24,709315429	228,789829119	2,0	20,0	 
injection peritumoral	peritumoral injection	peritumoral injection	2	9,44183625827	50,5681332296	212,763531477	12,0	202,0	 
constitutive protein transport	constitutive protein transport	constitutive protein transport	3	3,9714236158	24,709315429	238,915886663	2,0	23,0	 
function important	important function	important function|&|important functions	2	4,72091812914	28,5563577056	80,4511097826	3,0	40,0	 
factor growth phenotypic polypeptide role transformation	role of polypeptide growth factors in phenotypic transformation	role of polypeptide growth factors in phenotypic transformation	8	3,9714236158	24,709315429	556,448958885	2,0	30,0	 
Mexican PAX6 deletion gene intragenic patient	PAX6 gene intragenic deletions in Mexican patients	PAX6 gene intragenic deletions in Mexican patients	7	3,9714236158	24,709315429	459,262058532	2,0	19,0	 
Nanostructured carrier lipid	Nanostructured lipid carriers	Nanostructured lipid carriers|&|Nanostructured lipid carrier	3	7,94284723159	43,9130686939	682,00724129	6,0	107,0	 
adjusted analysis	adjusted analyses	adjusted analyses	2	4,72091812914	30,4705252852	208,251045235	2,0	25,0	 
molecular signature	molecular signature	molecular signature	2	4,72091812914	28,5563577056	136,079641482	3,0	18,0	 
A549 cell	A549 cells	A549 cells	2	4,72091812914	28,5563577056	388,493962287	3,0	62,0	 
cell tubular	tubular cells	tubular cells	2	12,589115011	67,4241776394	219,272972155	6,0	119,0	 
present result	present results	present results|&|Present results	2	6,29455750551	36,2643122592	119,558764898	4,0	69,0	 
adjuvant therapy	adjuvant therapy	adjuvant therapy	2	12,589115011	63,8025149427	246,935419358	9,0	150,0	 
high percentage	high percentage	high percentage|&|higher percentages	2	4,72091812914	28,5563577056	353,571931017	3,0	53,0	 
embryonic stem	embryonic stem	embryonic stem|&|Embryonic stem	2	14,1627543874	70,1096971055	124,46673494	9,0	104,0	 
deletion interstitial	interstitial deletion	interstitial deletion|&|interstitial deletions	2	9,44183625827	50,5681332296	137,271887664	6,0	46,0	 
human neuroectoderm specification	human neuroectoderm specification	human neuroectoderm specification	3	3,9714236158	24,709315429	513,165932682	2,0	14,0	 
glossopharyngeal nerve	glossopharyngeal nerve	glossopharyngeal nerve	2	4,72091812914	28,5563577056	233,558010007	6,0	50,0	 
follow-up long-term	long-term follow-up	long-term follow-up	2	7,86819688189	43,5746529293	294,543706154	5,0	50,0	 
nonpermissive temperature	nonpermissive temperatures	nonpermissive temperatures	2	11,0154756347	71,0978923322	224,182786264	2,0	37,0	 
hearing loss	hearing loss	hearing loss	2	7,86819688189	45,330390324	180,007218056	6,0	81,0	 
adjuvant systemic therapy	adjuvant systemic therapy	adjuvant systemic therapy|&|systemic adjuvant therapy	3	5,95713542369	34,648562585	210,005508613	5,0	96,0	 
characteristic response	response characteristics	response characteristics|&|characteristic response	2	4,72091812914	30,4705252852	178,386097775	2,0	31,0	 
large size	largest sizes	largest sizes|&|larger size|&|size larger	2	4,72091812914	28,5563577056	177,718430781	3,0	52,0	 
case false-negative	false-negative cases	false-negative cases|&|cases false-negative	2	11,0154756347	57,2981123768	191,742922834	7,0	119,0	 
biogenesis mitochondrial	mitochondrial biogenesis	mitochondrial biogenesis	2	4,72091812914	28,5563577056	203,307194209	3,0	33,0	 
cleft palate polish population	cleft palate in the polish population	cleft palate in the polish population	6	3,9714236158	24,709315429	911,299377123	2,0	25,0	 
interaction protein-protein	protein-protein interaction	protein-protein interaction	2	7,86819688189	43,5746529293	153,057926398	7,0	90,0	 
avian cell rat sarcoma virus-transformed	avian sarcoma virus-transformed rat cells	avian sarcoma virus-transformed rat cells	5	3,9714236158	24,709315429	231,08543597	2,0	25,0	 
ammonium function transport	ammonium transport function	ammonium transport function	3	3,9714236158	24,709315429	160,257577453	2,0	28,0	 
differentiation insulin production	insulin production during differentiation	insulin production during differentiation	4	3,9714236158	24,709315429	285,000249036	2,0	28,0	 
fibroblast mouse	mouse fibroblasts	mouse fibroblasts|&|mouse fibroblast	2	4,72091812914	28,5563577056	184,740006331	3,0	53,0	 
lymph lymphatic mapping molecular node sentinel	Molecular lymphatic mapping of the sentinel lymph node	Molecular lymphatic mapping of the sentinel lymph node	8	3,9714236158	24,709315429	320,530908576	2,0	24,0	 
expression maximal	maximal expression	maximal expression	2	4,72091812914	28,5563577056	135,279749107	3,0	37,0	 
patient prognosis	patient prognosis	patient prognosis|&|prognosis of patients	2	4,72091812914	28,5563577056	97,8532327784	3,0	40,0	 
hypoxia vitro	vitro hypoxia	vitro hypoxia|&|hypoxia in vitro	2	6,29455750551	36,2643122592	164,578593838	4,0	51,0	 
bad os	worse OS	worse OS	2	4,72091812914	30,4705252852	241,748850401	2,0	44,0	 
lymph metastasis node presence	presence of lymph node metastasis	presence of lymph node metastasis	5	9,92855903949	54,8913358673	364,23636153	4,0	57,0	 
culture system	culture system	culture system|&|culture systems	2	12,589115011	72,5286245184	233,134842595	6,0	132,0	 
breast cancer node-negative prognosis	prognosis in node-negative breast cancer	prognosis in node-negative breast cancer	5	3,9714236158	24,709315429	120,442209001	2,0	40,0	 
development oral periderm	oral periderm development	oral periderm development	3	3,9714236158	24,709315429	269,421108754	2,0	49,0	 
development normal	normal development	normal development	2	9,44183625827	50,5681332296	91,4152458595	9,0	133,0	 
cultured cytoskeleton fibroblast	cytoskeleton of cultured fibroblasts	cytoskeleton of cultured fibroblasts	4	3,9714236158	24,709315429	205,600035155	2,0	21,0	 
first site	first site	first site	2	4,72091812914	28,5563577056	192,9868841	3,0	47,0	 
cell individual	individual cells	individual cells	2	6,29455750551	36,2643122592	144,089884909	4,0	61,0	 
human iPSCs mutation	mutation in human iPSCs	mutation in human iPSCs	4	3,9714236158	24,709315429	232,315454896	2,0	29,0	 
deletion mutation	mutations or deletions	mutations or deletions|&|deletion mutations	3	4,72091812914	28,5563577056	125,415279642	3,0	47,0	 
conversion malignant	malignant conversion	malignant conversion	2	7,86819688189	45,330390324	104,452787019	5,0	69,0	 
relative risk	relative risk	relative risk|&|relative risks	2	11,0154756347	57,2981123768	391,189174659	7,0	127,0	 
cell epithelial kidney line	kidney epithelial cell line	kidney epithelial cell line|&|kidney epithelial cell lines	4	7,94284723159	43,9130686939	206,223774914	4,0	72,0	 
medicine regenerative	regenerative medicine	regenerative medicine	2	6,29455750551	36,2643122592	83,081033038	4,0	64,0	 
T-cell factor	T-cell factor	T-cell factor	2	4,72091812914	28,5563577056	173,545935162	3,0	55,0	 
cell maturation	cell maturation	cell maturation	2	4,72091812914	28,5563577056	295,895737389	5,0	101,0	 
inner layer nuclear	inner nuclear layer	inner nuclear layer|&|layer and the inner nuclear	3	21,8428298869	103,047928145	550,628207523	11,0	186,0	 
axon guidance	axon guidance	axon guidance	2	4,72091812914	28,5563577056	134,484526934	3,0	47,0	 
expression p-p38 p53	p-p38 and p53 expression	p-p38 and p53 expression	4	5,95713542369	41,1931447667	282,885264549	1,0	16,0	 
afferents input laryngeal nerve superior	inputs of the superior laryngeal nerve afferents	inputs of the superior laryngeal nerve afferents	7	3,9714236158	24,709315429	276,083754816	2,0	9,0	 
receptor type	receptor type	receptor type	2	4,72091812914	28,5563577056	317,459343148	3,0	34,0	 
breast cancer lymph metastasis node nonsentinel patient risk	risk of nonsentinel lymph node metastases in breast cancer patients	risk of nonsentinel lymph node metastases in breast cancer patients	10	3,9714236158	24,709315429	239,739493606	2,0	35,0	 
cancer cervical early lymph node sentinel	sentinel lymph node in early cervical cancer	sentinel lymph node in early cervical cancer	7	3,9714236158	24,709315429	94,141803149	2,0	28,0	 
aberrant axonal body mammillary projection	Aberrant axonal projections from mammillary bodies	Aberrant axonal projections from mammillary bodies	6	3,9714236158	24,709315429	356,754731557	2,0	14,0	 
knockout mouse	knockout mice	knockout mice	2	9,44183625827	50,5681332296	105,656247136	10,0	160,0	 
autism pathway	pathway and autism	pathway and autism|&|pathway for autism	3	4,72091812914	28,5563577056	360,187003192	3,0	26,0	 
different dose	different doses	different doses	2	4,72091812914	28,5563577056	150,392308655	3,0	52,0	 
Genome-wide association study	Genome-wide association studies	Genome-wide association studies	3	5,95713542369	34,648562585	169,28930071	3,0	55,0	 
cell proximal tubule	proximal tubule cells	proximal tubule cells|&|cells of the proximal tubule	3	7,94284723159	49,418630858	122,298554534	2,0	29,0	 
beta cellular transformation type	cellular transformation by type beta	cellular transformation by type beta	5	3,9714236158	24,709315429	162,925540475	2,0	25,0	 
cell kidney line normal rat	normal rat kidney cell line	normal rat kidney cell line|&|rat normal kidney cell line	5	7,94284723159	43,9130686939	501,81820899	4,0	78,0	 
adult mouse	adult mice	adult mice|&|adult mouse|&|mouse adult	2	11,0154756347	57,2981123768	129,669811975	9,0	188,0	 
inflammatory lesion	inflammatory lesions	inflammatory lesions	2	4,72091812914	30,4705252852	757,867594565	2,0	8,0	 
cell undifferentiated	undifferentiated cells	undifferentiated cells	2	4,72091812914	28,5563577056	350,022279057	3,0	42,0	 
fetal syndrome valproate	fetal valproate syndrome	fetal valproate syndrome	3	3,9714236158	24,709315429	169,176633199	2,0	14,0	 
lymph node regional	regional lymph nodes	regional lymph nodes|&|Regional lymph nodes	3	35,7428125422	143,84885268	284,31443613	21,0	289,0	 
gene prolactin transcription	prolactin gene transcription	prolactin gene transcription	3	3,9714236158	27,4620965111	213,452329229	1,0	19,0	 
molecular range weight	molecular weight ranges	molecular weight ranges	3	5,95713542369	34,648562585	254,98332621	3,0	36,0	 
characterization functional	functional characterization	functional characterization	2	4,72091812914	28,5563577056	230,082831256	3,0	37,0	 
breast cancer invasive	invasive breast cancer	invasive breast cancer|&|invasive breast cancers	3	21,8428298869	98,6647122809	324,810709973	33,0	474,0	 
